,brand,year,spec_title,spec_url,fuel_type,transmission
25362,Volvo,1994,1994 Volvo 850 2.5i Luxury-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-luxury-line-specs/54485/tech,Petrol,Manual
25363,Volvo,1994,1994 Volvo 850 2.5i Luxury-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-luxury-line-specs/54486/tech,Petrol,Automatic
25364,Volvo,1994,1994 Volvo 850 2.5i Sports-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-sports-line-specs/54489/tech,Petrol,Manual
25365,Volvo,1994,1994 Volvo 850 2.5i Sports-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-sports-line-specs/54490/tech,Petrol,Automatic
25366,Volvo,1994,1994 Volvo 850 2.5i 20V specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-specs/54491/tech,Petrol,Manual
25367,Volvo,1994,1994 Volvo 850 2.5i 20V specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-specs/54492/tech,Petrol,Automatic
25368,Volvo,1994,1994 Volvo 850 2.5i 20V Comfort-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-comfort-line-specs/54493/tech,Petrol,Manual
25369,Volvo,1994,1994 Volvo 850 2.5i 20V Comfort-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-comfort-line-specs/54494/tech,Petrol,Automatic
25370,Volvo,1994,1994 Volvo 850 2.5i 20V Luxury-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-luxury-line-specs/54495/tech,Petrol,Manual
25371,Volvo,1994,1994 Volvo 850 2.5i 20V Luxury-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-luxury-line-specs/54496/tech,Petrol,Automatic
25372,Volvo,1994,1994 Volvo 850 2.5i 20V Sports-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-sports-line-specs/54499/tech,Petrol,Manual
25373,Volvo,1994,1994 Volvo 850 2.5i 20V Sports-Line specs,https://www.cars-data.com/en/volvo-850-2-5i-20v-sports-line-specs/54500/tech,Petrol,Automatic
25374,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-specs/54509/tech,Petrol,Manual
25375,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-specs/54510/tech,Petrol,Automatic
25376,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V Comfort-Line specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-comfort-line-specs/54511/tech,Petrol,Manual
25377,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V Comfort-Line specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-comfort-line-specs/54512/tech,Petrol,Automatic
25378,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V Luxury-Line specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-luxury-line-specs/54513/tech,Petrol,Manual
25379,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V Luxury-Line specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-luxury-line-specs/54514/tech,Petrol,Automatic
25380,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V Sports-Line specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-sports-line-specs/54517/tech,Petrol,Manual
25381,Volvo,1994,1994 Volvo 850 T-5 2.3i Turbo 20V Sports-Line specs,https://www.cars-data.com/en/volvo-850-t-5-2-3i-turbo-20v-sports-line-specs/54518/tech,Petrol,Automatic
25382,Volvo,1994,1994 Volvo 850 T-5R 2.3i Turbo 20V specs,https://www.cars-data.com/en/volvo-850-t-5r-2-3i-turbo-20v-specs/54519/tech,Petrol,Manual
25383,Volvo,1994,1994 Volvo 850 T-5R 2.3i Turbo 20V specs,https://www.cars-data.com/en/volvo-850-t-5r-2-3i-turbo-20v-specs/54520/tech,Petrol,Automatic
25384,Volvo,1992,1992 Volvo 850 GLE 2.5i specs,https://www.cars-data.com/en/volvo-850-gle-2-5i-specs/54466/tech,Petrol,Automatic
25385,Volvo,1992,1992 Volvo 850 GLT 2.5i 20V specs,https://www.cars-data.com/en/volvo-850-glt-2-5i-20v-specs/54467/tech,Petrol,Manual
25386,Volvo,1992,1992 Volvo 850 GLT 2.5i 20V specs,https://www.cars-data.com/en/volvo-850-glt-2-5i-20v-specs/54468/tech,Petrol,Automatic
